Datetime,Average_Receive_bps,Average_Transmit_bps
2023-06-24 13:20:00,338392800.0,43982860.0
2023-06-24 13:25:00,338392800.0,43982860.0
2023-06-24 13:30:00,338949056.0,44929728.0
2023-06-24 13:35:00,338949056.0,44929728.0
2023-06-24 13:40:00,339062720.0,42532632.0
2023-06-24 13:45:00,339062720.0,42532632.0
2023-06-24 13:50:00,338341024.0,41644272.0
2023-06-24 13:55:00,338341024.0,41644272.0
2023-06-24 14:00:00,338813312.0,45857624.0
2023-06-24 14:05:00,338813312.0,45857624.0
2023-06-24 14:10:00,334455296.0,48424332.0
2023-06-24 14:15:00,334455296.0,48424332.0
2023-06-24 14:20:00,312281120.0,51854556.0
2023-06-24 14:25:00,312281120.0,51854556.0
2023-06-24 14:30:00,151033344.0,38855012.0
2023-06-24 14:35:00,151033344.0,38855012.0
2023-06-24 14:40:00,141672288.0,27927436.0
2023-06-24 14:45:00,141672288.0,27927436.0
2023-06-24 14:50:00,221131840.0,11567303.0
2023-06-24 14:55:00,221131840.0,11567303.0
2023-06-24 15:00:00,165791536.0,7786316.5
2023-06-24 15:05:00,165791536.0,7786316.5
2023-06-24 15:10:00,281965152.0,17493786.0
2023-06-24 15:15:00,281965152.0,17493786.0
2023-06-24 15:20:00,243642576.0,11071970.0
2023-06-24 15:25:00,243642576.0,11071970.0
2023-06-24 15:30:00,329178592.0,35357004.0
2023-06-24 15:35:00,329178592.0,35357004.0
2023-06-24 15:40:00,339733024.0,45495668.0
2023-06-24 15:45:00,339733024.0,45495668.0
2023-06-24 15:50:00,339549344.0,69017320.0
2023-06-24 15:55:00,339549344.0,69017320.0
2023-06-24 16:00:00,339339456.0,58169372.0
2023-06-24 16:05:00,339339456.0,58169372.0
2023-06-24 16:10:00,338669856.0,48129956.0
2023-06-24 16:15:00,338669856.0,48129956.0
2023-06-24 16:20:00,339084480.0,46752092.0
2023-06-24 16:25:00,339084480.0,46752092.0
2023-06-24 16:30:00,338539840.0,43241784.0
2023-06-24 16:35:00,338539840.0,43241784.0
2023-06-24 16:40:00,338467584.0,41546732.0
2023-06-24 16:45:00,338467584.0,41546732.0
2023-06-24 16:50:00,338252672.0,40420100.0
2023-06-24 16:55:00,338252672.0,40420100.0
2023-06-24 17:00:00,338790464.0,48586776.0
2023-06-24 17:05:00,338790464.0,48586776.0
2023-06-24 17:10:00,337985376.0,42144044.0
2023-06-24 17:15:00,337985376.0,42144044.0
2023-06-24 17:20:00,339067488.0,43382492.0
2023-06-24 17:25:00,339067488.0,43382492.0
2023-06-24 17:30:00,338686592.0,44581120.0
2023-06-24 17:35:00,338686592.0,44581120.0
2023-06-24 17:40:00,322613856.0,16708205.0
2023-06-24 17:45:00,322613856.0,16708205.0
2023-06-24 17:50:00,313317600.0,14132016.0
2023-06-24 17:55:00,313317600.0,14132016.0
2023-06-24 18:00:00,199287664.0,18397906.0
2023-06-24 18:05:00,199287664.0,18397906.0
